excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
-0.09,-0.06,-3.5,133,,,,,,
0.01,0.34,0.1,-45,,,,,,
-0.2,0.15,2.37,16,,,,,,
0.09,0.75,-0.66,-27,,,,,,
0.45,0.24,-0.01,94,,,,,,
-0.07,0.14,-1.4,55,,,,,,
0.08,0.17,-0.43,58,,,,,,
-0.02,-0.13,-15,-80,,,,,,
-0.02,-0.05,60,-20,,,,,,
-0.2,0.02,12,-25,,,,,,
-0.06,-0.01,3.5,-43,,,,,,
-0.07,-0.15,-28,241,,,,,,
-0.39,0,19,10,,,,,,
0.36,0.16,3.15,-660,,,,,,
0.08,0.13,8,-20.3,,,,,,
-0.02,1.1,-280,75,,,,,,
-0.06,0.1,180,16,,,,,,
-0.16,0.07,-5000,11,,,,,,
0.28,0.07,5.18,-4,,,,,,
-0.01,0.32,7.5,2.4,,,,,,
-0.42,-0.1,-106,9.8,,,,,,
-0.2,-0.15,-13,50,,,,,,
-0.03,0.26,-6,148,,,,,,
-0.2,0.02,-0.02,75,,,,,,
-0.02,-0.05,0.6,134,,,,,,
-0.18,-0.05,-5,200,,,,,,
-0.15,-0.16,-2.15,77,,,,,,
-0.08,0.26,-1.25,250,,,,,,
-0.01,0.25,76,-94.5,,,,,,
-0.06,0.1,13,-94,,,,,,
-0.11,0.51,65,-54,,,,,,
0.08,0.61,0.12,-670,,,,,,
